M4Y	ASD-C3.2 Min	Bottom	-4.1876	-1.4403	-0.0114	-0.0196	-0.0014	-1.0116
M4Y	ASD-C4.1 Max	Top	-0.8649	0.3728	0.0889	0.1185	0.0667	-0.1314
M4Y	ASD-C4.1 Max	Bottom	-3.0546	0.4212	0.0341	0.0534	0.0151	0.9776
M4Y	ASD-C4.1 Min	Top	-0.9193	-0.0726	-0.0962	-0.1174	-0.0633	-0.5652
M4Y	ASD-C4.1 Min	Bottom	-4.0388	-0.1154	-0.0326	-0.0608	-0.0146	-0.5502
M4Y	ASD-C4.2 Max	Top	-0.8667	1.5162	0.0173	0.0305	0.0238	0.4446
M4Y	ASD-C4.2 Max	Bottom	-3.4338	1.6176	0.0123	0.0103	0.0016	2.0039
M4Y	ASD-C4.2 Min	Top	-0.9175	-1.216	-0.0246	-0.0294	-0.0204	-1.1412
M4Y	ASD-C4.2 Min	Bottom	-3.6596	-1.3119	-0.0108	-0.0177	-0.0012	-1.5765
M5Y	PP	Top	-1.6213	-0.1582	0.0119	-0.0063	-0.0164	1.4434
M5Y	PP	Bottom	-4.3743	-0.1548	0.0056	0.0061	0.0001	0.6504
M5Y	SC	Top	-0.3874	0.1277	0.0014	-0.0024	-0.0008	-0.7288
M5Y	SC	Bottom	-0.4962	0.1286	0.0004	-0.0005	0.00002761	-0.6071
M5Y	EX Max	Top	0.4756	0.1934	0.0801	0.1112	0.0793	0.7809
M5Y	EX Max	Bottom	0.5316	0.2356	0.0389	0.0736	0.0149	0.614
M5Y	EY Max	Top	0.1027	1.2813	0.0228	0.0377	0.042	0.6866
M5Y	EY Max	Bottom	0.4254	1.3424	0.0159	0.0131	0.0011	2.1049
M5Y	ASD-C1	Top	-1.6213	-0.1582	0.0119	-0.0063	-0.0164	1.4434
M5Y	ASD-C1	Bottom	-4.3743	-0.1548	0.0056	0.0061	0.0001	0.6504
M5Y	ASD-C2	Top	-2.0087	-0.0305	0.0133	-0.0087	-0.0172	0.7145
M5Y	ASD-C2	Bottom	-4.8705	-0.0262	0.0059	0.0056	0.0001	0.0433
M5Y	ASD-C3.1 Max	Top	-1.5331	0.1629	0.0934	0.1025	0.0621	1.4954
M5Y	ASD-C3.1 Max	Bottom	-4.3389	0.2094	0.0448	0.0792	0.015	0.6573
M5Y	ASD-C3.1 Min	Top	-2.4843	-0.2239	-0.0668	-0.12	-0.0965	-0.0664
M5Y	ASD-C3.1 Min	Bottom	-5.4021	-0.2618	-0.033	-0.068	-0.0148	-0.5707
M5Y	ASD-C3.2 Max	Top	-1.906	1.2508	0.0361	0.029	0.0248	1.4012
M5Y	ASD-C3.2 Max	Bottom	-4.4451	1.3162	0.0218	0.0186	0.0013	2.1482
M5Y	ASD-C3.2 Min	Top	-2.1114	-1.3118	-0.0095	-0.0465	-0.0591	0.0279
M5Y	ASD-C3.2 Min	Bottom	-5.2959	-1.3687	-0.01	-0.0075	-0.001	-2.0616
M5Y	ASD-C4.1 Max	Top	-1.1457	0.0352	0.092	0.1049	0.0629	2.2243
M5Y	ASD-C4.1 Max	Bottom	-3.8427	0.0808	0.0445	0.0797	0.015	1.2644
